frame,track_id,x1,y1,x2,y2,confidence,class
1,1,152.31,111.60,172.00,143.11,0.8433,0
1,2,180.73,218.85,205.11,250.19,0.8410,0
1,3,125.29,392.53,158.51,420.34,0.8226,0
1,4,451.12,302.77,479.25,339.62,0.8197,2
1,5,453.80,520.99,488.53,554.94,0.8038,2
1,6,121.30,579.85,145.87,602.91,0.7824,0
1,7,201.29,550.20,239.53,587.23,0.7797,2
1,8,106.63,545.69,130.72,564.04,0.7738,0
1,9,390.10,1049.21,418.07,1079.78,0.7690,2
1,10,443.83,944.50,473.19,975.49,0.7637,0
1,11,364.92,225.03,393.33,253.61,0.7596,0
1,12,239.13,560.32,263.89,587.45,0.7593,0
1,13,434.75,912.83,459.96,939.05,0.7571,0
1,14,209.30,209.86,229.59,233.31,0.7491,0
1,15,498.56,275.90,534.99,311.39,0.7284,2
1,16,497.50,521.96,516.13,547.37,0.6963,0
1,17,547.97,38.71,571.98,64.13,0.6900,2
1,18,503.54,85.53,524.91,111.65,0.6853,0
1,19,64.88,867.37,98.96,897.08,0.6244,0
1,20,406.69,716.65,431.96,742.64,0.6184,0
1,21,474.32,1247.21,513.55,1279.96,0.6033,0
1,22,496.69,729.47,531.76,756.81,0.6031,2
1,23,477.95,290.55,502.03,321.01,0.6010,0
1,24,527.59,79.73,553.16,101.31,0.5837,2
1,25,387.78,60.31,410.47,88.67,0.5828,1
1,26,415.08,1081.16,450.54,1104.17,0.5806,0
1,27,408.42,1079.37,441.91,1104.19,0.5776,0
1,28,102.06,501.83,123.48,525.77,0.5582,0
1,29,229.95,0.00,250.75,18.27,0.5578,0
1,30,106.71,837.62,125.94,863.95,0.5382,0
1,31,362.91,8.74,384.68,32.09,0.5355,0
1,32,253.72,488.58,273.24,511.11,0.5068,0
1,33,438.11,1232.96,462.62,1259.03,0.5059,0
1,34,386.83,614.88,417.08,648.03,0.5042,0
2,1,152.50,116.13,171.46,149.35,0.7515,0
2,2,180.79,226.27,205.26,256.51,0.8188,0
2,3,126.50,400.56,156.91,429.19,0.8028,0
2,4,452.05,309.87,480.84,346.20,0.8444,2
2,5,454.18,527.61,488.54,562.29,0.8084,2
2,6,120.60,588.46,145.45,610.16,0.7513,0
2,7,201.36,560.01,239.40,596.03,0.7767,2
2,8,106.07,552.77,129.73,572.85,0.7896,0
2,9,390.68,1057.18,420.07,1087.61,0.8137,2
2,10,444.42,951.06,474.35,984.28,0.6985,0
2,11,366.15,231.85,393.15,259.60,0.7224,0
2,12,238.46,565.99,263.88,594.73,0.8276,0
2,13,434.47,922.73,459.14,948.34,0.8338,0
2,14,206.93,215.76,228.80,240.42,0.7575,0
2,15,501.14,281.30,535.89,317.21,0.7408,2
2,16,497.22,528.92,516.11,553.69,0.7577,0
2,17,548.56,47.98,572.99,70.42,0.7395,2
2,18,504.34,92.60,526.39,117.41,0.7094,0
2,19,65.03,874.92,97.93,905.14,0.7049,0
2,20,407.70,726.50,432.32,751.20,0.7002,0
2,22,495.24,737.64,532.64,765.10,0.7639,2
2,23,479.22,296.97,502.84,325.99,0.7452,0
2,24,528.73,84.88,553.88,107.68,0.5582,2
2,25,387.95,64.59,409.17,94.86,0.6113,1
2,26,410.59,1090.92,451.27,1115.13,0.5332,0
2,27,406.74,1088.71,444.06,1114.51,0.5827,0
2,28,102.35,513.95,124.36,533.73,0.6734,0
2,29,230.56,0.77,249.56,24.51,0.7016,0
2,31,362.99,14.65,383.97,36.29,0.6229,0
2,33,438.42,1241.86,463.06,1272.77,0.5054,0
2,34,389.71,625.07,417.25,657.03,0.6605,0
3,1,151.34,124.41,171.17,156.19,0.8463,0
3,2,180.56,231.98,204.97,263.95,0.8323,0
3,3,125.83,408.93,156.64,436.77,0.8145,0
3,4,452.52,317.18,481.09,352.79,0.8260,2
3,5,454.06,535.96,488.73,571.02,0.8310,2
3,6,120.53,595.71,144.80,617.86,0.7297,0
3,7,201.85,565.82,239.38,603.38,0.7059,2
3,8,106.03,561.50,130.06,580.72,0.7223,0
3,9,390.31,1066.13,421.39,1096.85,0.8223,2
3,10,445.62,960.89,474.49,993.58,0.7782,0
3,11,365.67,238.96,393.75,266.33,0.7543,0
3,12,238.94,575.50,263.57,603.26,0.7574,0
3,13,434.92,932.10,458.90,958.49,0.7655,0
3,14,208.46,222.86,229.15,246.69,0.6748,0
3,15,501.42,288.79,536.38,323.06,0.7879,2
3,16,497.57,537.43,516.00,563.20,0.8283,0
3,17,548.88,52.86,573.35,76.18,0.6520,2
3,18,504.27,97.83,526.71,124.12,0.6377,0
3,19,64.02,884.60,95.21,913.58,0.6228,0
3,22,496.37,744.96,533.05,773.13,0.8008,2
3,24,529.05,91.59,554.45,114.11,0.6332,2
3,25,388.10,70.69,409.52,102.42,0.5691,1
3,26,410.01,1100.38,451.82,1124.02,0.6931,0
3,28,102.72,522.00,123.62,542.34,0.5508,0
3,29,230.47,2.26,250.63,31.01,0.7515,0
3,33,439.03,1251.32,463.88,1280.00,0.5638,0
3,34,390.58,631.71,417.77,663.48,0.5852,0
3,32,253.93,503.33,272.90,525.28,0.5689,0
4,1,151.27,129.75,172.07,162.62,0.8237,0
4,2,180.25,239.84,204.50,270.68,0.7924,0
4,3,124.75,417.39,156.44,443.84,0.8114,0
4,4,453.15,323.64,481.96,359.99,0.8384,2
4,5,454.35,544.04,489.67,579.14,0.7905,2
4,6,120.16,604.11,145.05,626.18,0.6203,0
4,7,201.21,574.30,239.15,610.62,0.8155,2
4,8,106.20,569.15,128.82,588.41,0.7959,0
4,9,390.33,1076.46,421.55,1106.85,0.7813,2
4,10,445.82,972.66,474.86,1003.37,0.8087,0
4,12,238.58,582.74,263.76,609.39,0.8197,0
